OTU	season	day	mean	adj.mean	variance	std	Kingdom	Phylum	Class	Order	Family	Genus
Otu019	Summer	33	0.002712	0.002712	2.30E-05	0.000995	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Mitsuokella
Otu020	Spring	33	0.000687	0.000687	1.00E-05	0.000605	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Bifidobacteriales(100)	Bifidobacteriaceae(100)	Bifidobacterium
Otu020	Summer	33	0.009523	0.009523	0.000274	0.003454	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Bifidobacteriales(100)	Bifidobacteriaceae(100)	Bifidobacterium
Otu022	Summer	33	0.00024	0.00024	0	8.30E-05	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Peptostreptococcaceae unclass
Otu022	Spring	33	0.001468	0.001468	1.00E-05	0.000589	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Peptostreptococcaceae unclass
Otu029	Spring	33	0.000022	0.000022	0	1.60E-05	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(100)	Bacteroidaceae(100)	Bacteroides
Otu029	Summer	33	0.000151	0.000151	0	0.000133	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(100)	Bacteroidaceae(100)	Bacteroides
Otu043	Summer	33	0.000018	0.000018	0	1.80E-05	Bacteria(100)	Bacteroidetes(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes unclass
Otu043	Spring	33	0.000161	0.000161	0	0.000132	Bacteria(100)	Bacteroidetes(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes unclass
Otu055	Spring	33	0.000015	0.000015	0	1.50E-05	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Selenomonas
Otu055	Summer	33	0.000142	0.000142	0	0.000125	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Selenomonas
Otu059	Summer	33	0.000044	0.000044	0	3.10E-05	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Ruminococcaceae(100)	Ruminococcus
Otu059	Spring	33	0.000161	0.000161	0	6.80E-05	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Ruminococcaceae(100)	Ruminococcus
Otu062	Spring	33	0	0.00000007	0	0	Bacteria(100)	Proteobacteria(100)	Betaproteobacteria(100)	Neisseriales(100)	Neisseriaceae(100)	Neisseria
Otu062	Summer	33	0.000169	0.000169	0	0.000142	Bacteria(100)	Proteobacteria(100)	Betaproteobacteria(100)	Neisseriales(100)	Neisseriaceae(100)	Neisseria
Otu065	Spring	33	0	0.00000007	0	0	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Bifidobacteriales(100)	Bifidobacteriaceae(100)	Pseudoscardovia
Otu065	Summer	33	0.001058	0.001058	5.00E-06	0.000459	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Bifidobacteriales(100)	Bifidobacteriaceae(100)	Pseudoscardovia
Otu090	Summer	33	0	0.00000007	0	0	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Caulobacterales(100)	Caulobacteraceae(100)	Brevundimonas
Otu090	Spring	33	0.000066	0.000066	0	4.10E-05	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Caulobacterales(100)	Caulobacteraceae(100)	Brevundimonas
Otu100	Summer	33	0	0.00000007	0	0	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Xanthomonadales(100)	Xanthomonadaceae(100)	Stenotrophomonas
Otu100	Spring	33	0.000073	0.000073	0	4.80E-05	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Xanthomonadales(100)	Xanthomonadaceae(100)	Stenotrophomonas
Otu110	Summer	33	0.000009	0.000009	0	9.00E-06	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Coriobacteriales(100)	Coriobacteriaceae(100)	Collinsella
