group	Group	treatment	season	day	code_name	exp_group
JI44_R1_fastq	033399_JI44_S285	GLN	Summer	33	SumG33_5	SummerGLN33
JI46_R1_fastq	033400_JI46_S286	GLN	Summer	33	SumG33_6	SummerGLN33
JI47_R1_fastq	033401_JI47_S287	NA_C	Summer	33	SumNA33_4	SummerNA_C33
JI48_R1_fastq	033402_JI48_S288	A	Summer	33	SumA33_4	SummerA33
JI49_R1_fastq	033403_JI49_S289	A	Summer	33	SumA33_5	SummerA33
JI50_R1_fastq	033404_JI50_S290	NA_C	Summer	33	SumNA33_5	SummerNA_C33
JI51_R1_fastq	033405_JI51_S291	GLN	Summer	33	SumG33_7	SummerGLN33
JI52_R1_fastq	033406_JI52_S292	NA_C	Summer	33	SumNA33_6	SummerNA_C33
JI53_R1_fastq	033407_JI53_S293	A	Summer	33	SumA33_6	SummerA33
JI55_R1_fastq	033408_JI55_S294	NA_C	Summer	33	SumNA33_7	SummerNA_C33
JI56_R1_fastq	033409_JI56_S295	GLN	Summer	33	SumG33_9	SummerGLN33
JI59_R1_fastq	033410_JI59_S296	GLN	Summer	33	SumG33_10	SummerGLN33
JI60_R1_fastq	033411_JI60_S297	NA_C	Summer	33	SumNA33_8	SummerNA_C33
JI61_R1_fastq	033412_JI61_S298	GLN	Spring	13	SprG13_1	SpringGLN13
JI62_R1_fastq	033413_JI62_S299	A	Spring	13	SprA13_1	SpringA13
JI63_R1_fastq	033414_JI63_S300	NA_C	Spring	13	SprNA13_1	SpringNA_C13
